"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.077569600E-2,4.605317116E-2,-7.156777382E-2,-1.033878326E-2
4.576012300E-2,8.484840393E-3,-4.707479477E-2,-1.323518753E-1
5.074455000E-2,1.106545925E-1,-4.887604713E-2,-8.947467804E-2
5.572897700E-2,1.124658585E-1,-1.906085014E-2,-1.258277893E-1
6.071340400E-2,2.368187904E-2,8.821964264E-3,-1.249828339E-1
6.569783100E-2,-3.024411201E-2,-8.487701416E-3,-5.343151093E-2
7.068225800E-2,-1.522041559E-1,9.208202362E-3,-6.678104401E-2
7.566668500E-2,-1.348768473E-1,-9.510517120E-4,-4.104137421E-2
8.065111200E-2,-2.876412868E-1,1.099588871E-1,-9.969043732E-2
8.563173700E-2,2.837014198E-2,-6.715011597E-2,5.090618134E-2
9.061236200E-2,-1.201691628E-1,-1.534318924E-2,-2.531337738E-2
9.559340400E-2,-2.649438381E-2,-1.005005836E-1,-1.130399704E-1
1.005750190E-1,2.881908417E-2,-1.265983582E-1,-1.640968323E-1
1.055572580E-1,5.931818485E-2,-1.288530827E-1,-2.705860138E-1
1.105401750E-1,2.456089258E-1,-2.293026447E-1,-3.180313110E-1
1.155238210E-1,1.983257532E-1,-2.601888180E-1,-4.137372971E-1
1.205081960E-1,9.689247608E-2,-2.341489792E-1,-3.884687424E-1
1.254933000E-1,7.497608662E-2,-1.584875584E-1,-2.482919693E-1
1.304790810E-1,1.549890041E-1,-9.006118774E-2,-1.208496094E-1
1.354654350E-1,1.861162782E-1,-4.200530052E-2,-2.193450928E-4
1.404522580E-1,1.525513530E-1,-2.678132057E-2,5.505752563E-2
1.454394460E-1,6.175529957E-2,-1.114749908E-2,1.306610107E-1
1.504268410E-1,1.672005653E-2,2.698731422E-2,1.346158981E-1
1.554143410E-1,-5.423903465E-2,-1.110551357E-1,-2.244071960E-1
1.604018410E-1,-1.396368742E-1,-9.137058258E-2,-2.804393768E-1
1.653863730E-1,1.357485652E-1,1.814081669E-1,1.311521530E-1
1.703708000E-1,1.291727424E-1,3.609652519E-1,2.751169205E-1
1.753552270E-1,-8.191460371E-2,3.716335297E-1,3.506822586E-1
1.803396540E-1,-3.585184216E-1,2.555682659E-1,4.019603729E-1
1.853240810E-1,-3.295115232E-1,8.586120605E-2,4.297828674E-1
1.903085080E-1,-2.094834447E-1,-1.064705849E-2,4.857215881E-1
1.952929350E-1,2.576583624E-2,-8.196592331E-3,4.991264343E-1
2.002773620E-1,2.338096499E-1,1.654005051E-2,3.641214371E-1
2.052617890E-1,3.146303296E-1,-6.652951241E-2,1.263723373E-1
2.102462160E-1,1.979193687E-1,-4.438042641E-2,-6.757450104E-2
2.152306440E-1,1.361344457E-1,1.067423820E-2,-2.379751205E-1
2.202150710E-1,1.652491689E-1,4.711079597E-2,-3.579301834E-1
2.251994980E-1,1.617686749E-1,5.650568008E-2,-3.123960495E-1
2.301839250E-1,6.500583887E-2,-1.191995144E-1,-5.256710052E-1
2.351683520E-1,-2.645613551E-1,-3.199882507E-1,-8.572797775E-1
2.401527790E-1,7.202082872E-2,5.735635757E-3,-1.874923706E-2
2.451372060E-1,3.799138069E-1,2.082717419E-1,3.978204727E-1
2.501216330E-1,4.381629229E-1,1.628425121E-1,6.696491241E-1
2.551060600E-1,2.885850072E-1,9.809255600E-3,8.051776886E-1
2.600904870E-1,2.409210503E-1,-7.152247429E-2,1.065509796E0
