"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.501664550E1,2.551322040E1,1.973261677E1,NaN,NaN,5.240000153E1,7.641275406E0
8.419551195E0,6.501665909E1,2.551318445E1,-2.252060726E1,9.599999785E-1,9.909999847E1,2.264655495E1,6.727066040E1
8.588363956E0,6.501672130E1,2.551324465E1,1.116778011E1,3.799999952E-1,1.666000061E2,5.547372818E0,8.958246231E0
9.587713955E0,6.501674961E1,2.551319983E1,2.084612016E1,0.000000000E0,NaN,5.151887417E0,7.800424576E0
1.058774395E1,6.501677522E1,2.551321284E1,2.601645902E1,0.000000000E0,NaN,4.340675831E0,6.047641754E0
1.158764510E1,6.501676193E1,2.551321949E1,2.212058881E1,6.399999857E-1,7.619999695E1,4.012720108E0,4.877907753E0
1.258821624E1,6.501675051E1,2.551321950E1,2.357200875E1,2.000000030E-1,1.663000031E2,3.790092468E0,4.052775860E0
1.358777187E1,6.501674706E1,2.551321342E1,2.458702527E1,4.099999964E-1,1.683999939E2,3.790092468E0,3.564197063E0
1.458759869E1,6.501674075E1,2.551323447E1,2.359160270E1,1.529999971E0,8.959999847E1,3.790092468E0,3.300574780E0
1.558816786E1,6.501673879E1,2.551324351E1,2.175578692E1,4.699999988E-1,5.090000153E1,3.790092468E0,3.159083366E0
1.658785666E1,6.501673440E1,2.551323299E1,2.102092634E1,6.700000167E-1,2.660000000E2,3.790092468E0,3.057754278E0
1.758841062E1,6.501673050E1,2.551323345E1,1.952880116E1,4.600000083E-1,3.391000061E2,3.790092468E0,2.907885313E0
1.858790708E1,6.501672796E1,2.551324729E1,1.982396649E1,7.500000000E-1,7.219999695E1,3.790092468E0,3.192845106E0
1.958756984E1,6.501672289E1,2.551326520E1,1.785442275E1,1.070000052E0,1.059000015E2,3.790092468E0,3.503500223E0
2.058763364E1,6.501671998E1,2.551328889E1,1.684984344E1,1.210000038E0,8.580000305E1,3.790092468E0,3.460607767E0
2.158768556E1,6.501671809E1,2.551330587E1,1.722233974E1,5.600000024E-1,9.009999847E1,3.790092468E0,3.499187708E0
2.258709182E1,6.501671675E1,2.551331495E1,1.678776886E1,0.000000000E0,NaN,3.790092468E0,3.413218975E0
2.358694958E1,6.501671531E1,2.551333118E1,1.671544086E1,4.799999893E-1,8.040000153E1,3.790092468E0,3.163703918E0
2.458744567E1,6.501671296E1,2.551335962E1,1.674723778E1,8.399999738E-1,9.450000000E1,3.790092468E0,2.810357809E0
2.558723593E1,6.501670955E1,2.551339416E1,1.706309199E1,1.190000057E0,9.630000305E1,3.790092468E0,2.613620996E0
2.658740515E1,6.501670686E1,2.551342606E1,1.713858981E1,1.070000052E0,9.850000000E1,3.790092468E0,2.500000000E0
2.758660770E1,6.501670119E1,2.551345779E1,1.729660819E1,1.330000043E0,1.079000015E2,3.790092468E0,2.587045431E0
